Date,heating_sig,economizer_sig,cooling_sig
12/23/2022 10:11,0,20,34
12/23/2022 10:26,0,20,33
12/23/2022 10:41,0,20,32
12/23/2022 10:56,0,20,33
12/23/2022 11:11,0,100,32
12/23/2022 11:26,0,100,31
12/23/2022 11:41,0,20,30
12/23/2022 11:56,0,20,31
12/23/2022 12:11,0,20,32
12/23/2022 12:26,0,20,31
12/23/2022 12:41,0,20,32
12/23/2022 12:56,0,20,31
12/23/2022 13:11,0,20,32
12/23/2022 13:26,0,100,31
12/23/2022 13:41,0,100,32
12/23/2022 13:56,0,20,33
12/23/2022 14:11,0,20,32
12/23/2022 14:26,0,20,31
12/23/2022 14:41,0,20,32
12/23/2022 14:56,0,20,31
12/23/2022 15:11,0,20,32
12/23/2022 15:26,0,20,33
12/23/2022 15:41,0,100,34
12/23/2022 15:56,0,100,33
12/23/2022 16:11,0,20,32
12/23/2022 16:26,0,20,31
12/23/2022 16:41,0,20,30
12/23/2022 16:56,0,20,31
12/23/2022 17:11,0,20,30
12/23/2022 17:26,0,20,29
12/23/2022 17:41,0,20,28
12/23/2022 17:56,0,100,29
12/23/2022 18:11,0,100,28
12/23/2022 18:26,0,20,29
12/23/2022 18:41,0,20,30
12/23/2022 18:56,0,20,29
12/23/2022 19:11,0,20,28
12/23/2022 19:26,0,20,27
12/23/2022 19:41,0,20,26
12/23/2022 19:56,0,20,27
12/23/2022 20:11,0,100,28
12/23/2022 20:26,0,100,27
12/23/2022 20:41,0,20,26
12/23/2022 20:56,0,20,25
12/23/2022 21:11,0,20,26
12/23/2022 21:26,0,20,27
12/23/2022 21:41,0,20,28
12/23/2022 21:56,0,20,29
12/23/2022 22:11,0,20,30
12/23/2022 22:26,0,100,29
12/23/2022 22:41,0,100,30
12/23/2022 22:56,0,20,31
12/23/2022 23:11,0,20,32
12/23/2022 23:26,0,20,31
12/23/2022 23:41,55,20,0
12/23/2022 23:56,0,55,0
12/24/2022 0:11,0,20,31
12/24/2022 0:26,55,20,0
12/24/2022 0:41,0,55,0
12/24/2022 0:56,0,20,31
12/24/2022 1:11,0,55,30
12/24/2022 1:26,55,20,0
12/24/2022 1:41,0,55,0
12/24/2022 1:56,0,20,31
12/24/2022 2:11,0,20,26
12/24/2022 2:26,55,20,0
12/24/2022 2:41,0,55,0
12/24/2022 2:56,0,20,31
12/24/2022 3:11,0,20,28
12/24/2022 3:26,0,20,29
12/24/2022 3:41,55,20,0
12/24/2022 3:56,0,55,0
12/24/2022 4:11,0,20,31
12/24/2022 4:26,0,20,27
12/24/2022 4:41,0,20,26
12/24/2022 4:56,56,20,0
12/24/2022 5:11,65,20,0
12/24/2022 5:26,0,85,25
12/24/2022 5:41,0,85,24
12/24/2022 5:56,0,20,23
12/24/2022 6:11,23,20,0
12/24/2022 6:26,23,20,0
12/24/2022 6:41,0,20,26
12/24/2022 6:56,0,20,25
12/24/2022 7:11,0,20,24
12/24/2022 7:26,0,20,25
12/24/2022 7:41,23,20,0
12/24/2022 7:56,23,20,0
12/24/2022 8:11,0,20,26
12/24/2022 8:26,0,85,27
12/24/2022 8:41,0,20,26
12/24/2022 8:56,23,20,0
12/24/2022 9:11,23,20,0
12/24/2022 9:26,0,20,26
12/24/2022 9:41,0,85,26
12/24/2022 9:56,0,20,27
12/24/2022 10:11,23,20,0
12/24/2022 10:26,23,20,0
12/24/2022 10:41,0,88,26
12/24/2022 10:56,0,20,27
12/24/2022 11:11,0,20,28
12/24/2022 11:26,0,20,29
12/24/2022 11:41,0,20,28
12/24/2022 11:56,0,82,29
12/24/2022 12:11,0,44,28
12/24/2022 12:26,0,20,29
12/24/2022 12:41,0,88,28
12/24/2022 12:56,0,20,27
12/24/2022 13:11,0,20,28
12/24/2022 13:26,0,45,27
12/24/2022 13:41,0,20,26
12/24/2022 13:56,0,20,27
12/24/2022 14:11,0,20,26
12/24/2022 14:26,0,20,27
12/24/2022 14:41,0,20,28
12/24/2022 14:56,0,20,29
12/24/2022 15:11,0,20,30
12/24/2022 15:26,0,20,29
